# ::id nw.wsj_0003.27 ::amr-annotator ISI-AMR-01 ::preferred
# ::tok Workers described `` clouds of blue dust '' that hung over parts of the factory , even though exhaust fans ventilated the area .
# ::alignments 0-1.1 0-1.1.1 0-1.1.1.r 1-1 3-1.2 4-1.2.1.r 5-1.2.1.1 6-1.2.1 9-1.2.2 10-1.2.2.1 11-1.2.2.1.1.1.r 14-1.2.2.1.1.1 16-1.2.2.2.r 17-1.2.2.2.r 18-1.2.2.2.1.1 19-1.2.2.2.1 20-1.2.2.2 22-1.2.2.2.2
(d / describe-01~e.1 
      :ARG0 (p / person~e.0 
            :ARG0-of~e.0 (w / work-01~e.0)) 
      :ARG1 (c3 / cloud~e.3 
            :consist-of~e.4 (d3 / dust~e.6 
                  :mod (b2 / blue~e.5)) 
            :ARG1-of (h / hang-01~e.9 
                  :location (o / over~e.10 
                        :op1 (t / thing 
                              :part-of~e.11 (f / factory~e.14))) 
                  :concession~e.16,17 (v / ventilate-01~e.20 
                        :ARG0 (f2 / fan~e.19 
                              :mod (e / exhaust~e.18)) 
                        :ARG1 (a / area~e.22)))))

