# ::id nw.wsj_0004.6 ::amr-annotator ISI-AMR-01 ::preferred
# ::tok Shorter maturities are considered a sign of rising rates because portfolio managers can capture higher rates sooner .
# ::alignments 0-1.1.1.1 0-1.1.1.1.1 0-1.1.1.1.1.r 1-1.1.1 3-1 5-1.1 6-1.1.2.r 7-1.1.2 8-1.1.2.1 9-1.2 10-1.2.1.1.1.1.1 11-1.2.1.1.1 11-1.2.1.1.1.1 11-1.2.1.1.1.1.r 12-1.2.1 13-1.2.1.1 14-1.2.1.1.2.1 14-1.2.1.1.2.1.1 14-1.2.1.1.2.1.1.r 15-1.2.1.1.2 16-1.2.1.1.3 16-1.2.1.1.3.1 16-1.2.1.1.3.1.r
(c / consider-01~e.3 
      :ARG1 (s / signal-07~e.5 
            :ARG0 (m / maturity~e.1 
                  :ARG1-of (s2 / short-07~e.0 
                        :degree~e.0 (m2 / more~e.0))) 
            :ARG1~e.6 (r / rise-01~e.7 
                  :ARG1 (r2 / rate~e.8))) 
      :ARG1-of (c3 / cause-01~e.9 
            :ARG0 (p / possible-01~e.12 
                  :ARG1 (c2 / capture-01~e.13 
                        :ARG0 (p2 / person~e.11 
                              :ARG0-of~e.11 (m3 / manage-01~e.11 
                                    :ARG1 (p3 / portfolio~e.10))) 
                        :ARG1 (r3 / rate~e.15 
                              :ARG1-of (h / high-02~e.14 
                                    :degree~e.14 (m4 / more~e.14))) 
                        :time (s3 / soon~e.16 
                              :degree~e.16 (m5 / more~e.16))))))

